规格名称,SKY 链接,类型,公母,图片ID
立式母座180度USB-A直针（20个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629895,USB-A,母座,3209997629865
USB-A型母座90度弯脚(15个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629896,USB-A,母座,3209997629896
USBA型插座母座180度贴片（20个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629900,USB-A,母座,3209997629900
USBA型母座180度弯脚（20个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629899,USB-A,母座,3209997629899
USBA型母座扁口90度直脚直插（15个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629901,USB-A,母座,3209997629901
USB-B型母座 USB方口（6个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629902,USB-B,母座,3209997629902
MICRO 5P USB母座5脚（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629894,Micro-USB,母座,3209997629894
MINI USB插座 带壳三件套公头 (5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4548052275538,Mini-USB,公头,4548052275538
USB母头USB插座卡盒式三件套A母（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629897,USB-A,母座,3209997629897
带塑壳-三件式长壳公头(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281707,USB-A,公头,3695686281707
无边 micro 牛角 平口 5P母座（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923375,Micro-USB,母座,3463186923375
编带 迈克牛角 micro usb 5pin 5针（10个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923379,Micro-USB,母座,3463186923379
4个固定脚插板固定母座MK5P（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923378,Micro-USB,母座,3463186923378
黑色胶贴片焊板公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281705,USB-A,公头,3695686281705
TYPEC公头绿板+白色外壳(2套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393225,Type-C,公头,4901406393225
TYPEC公头绿板+黑色外壳(2套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393226,Type-C,公头,4901406393226
双层USB母座90度弯针（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629898,USB-A,母座,3209997629898
90度USB母座5P（6个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3209997629903,Mini-USB,母座,3209997629903
立式 MICRO 5P母座180度直插（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3463186923377,Micro-USB,母座,3463186923377
MICRO插头 迷你USB公头 MICRO 5P 焊线式（5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3298536756263,Micro-USB,公头,3298536756263
白色胶 A型焊板公头 贴片(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033404,USB-A,公头,4886723033404
焊线式公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033403,USB-A,公头,4886723033403
带壳三件套 micro公头(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033413,Micro-USB,公头,4886723033413
A母带壳三件套焊线式(5套),https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033414,USB-A,母座,4886723033414
双层全包USB插座A母双层（2个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3299010121902,USB-A,母座,3299010121902
双层USB母座180度直插（5个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=3609029979339,USB-A,母座,3609029979339
焊线直板三件式公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281711,USB-A,公头,3695686281711
焊线式公头加长款(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281708,USB-A,公头,3695686281708
白色胶90度直插焊板公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281709,USB-A,公头,3695686281709
折叠中长一件式公头(10个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3695686281710,USB-A,公头,3695686281710
AF 侧插 短体 usb A母 侧边 有卷边立式 接口(5个),https://detail.tmall.com/item.htm?id=41230755573&skuId=3746665864740,USB-A,母座,3746665864740
USB公头配弧形白色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393221,USB-A,公头,4901406393221
USB公头配弧形黑色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393222,USB-A,公头,4901406393222
USB公头配方形白色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393223,USB-A,公头,4901406393223
USB公头配方形黑色外壳(5套）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4901406393224,USB-A,公头,4901406393224
type-c插座 TYPE-CF-16P-OT0.8-L6.5（1个）,https://detail.tmall.com/item.htm?id=41230755573&skuId=4886723033382,Type-C,母座,4886723033382
